id,neighbourhood_city,room_type,price
1,"Cuajimalpa de Morelos, Mexico City",Entire home/apt,3882
2,"Cuauhtémoc, Mexico City",Entire home/apt,2764
3,"La Magdalena Contreras, Mexico City",Private room,583
4,"Cuauhtémoc, Mexico City",Entire home/apt,18000
5,"Cuajimalpa de Morelos, Mexico City",Private room,500
6,"Cuauhtémoc, Mexico City",Entire home/apt,1823
7,"Cuauhtémoc, Mexico City",Entire home/apt,660
8,"Cuauhtémoc, Mexico City",Entire home/apt,1653
9,"Cuauhtémoc, Mexico City",Private room,1164
10,"Cuauhtémoc, Mexico City",Private room,582
11,"Venustiano Carranza, Mexico City",Entire home/apt,428
12,"Cuauhtémoc, Mexico City",Entire home/apt,2426
13,"Coyoacán, Mexico City",Private room,375
14,"Benito Juárez, Mexico City",Entire home/apt,1580
15,"Coyoacán, Mexico City",Entire home/apt,1736
16,"Miguel Hidalgo, Mexico City",Entire home/apt,1400
17,"Miguel Hidalgo, Mexico City",Private room,3008
18,"Miguel Hidalgo, Mexico City",Entire home/apt,3649
19,"Miguel Hidalgo, Mexico City",Entire home/apt,1503
20,"Coyoacán, Mexico City",Private room,1322
21,"Coyoacán, Mexico City",Entire home/apt,1100
22,"Coyoacán, Mexico City",Entire home/apt,873
23,"Miguel Hidalgo, Mexico City",Entire home/apt,3888
24,"Cuauhtémoc, Mexico City",Private room,427
25,"Benito Juárez, Mexico City",Private room,480
26,"Coyoacán, Mexico City",Entire home/apt,718
27,"Benito Juárez, Mexico City",Entire home/apt,2500
28,"Benito Juárez, Mexico City",Private room,295
29,"Cuauhtémoc, Mexico City",Private room,1650
30,"Cuauhtémoc, Mexico City",Entire home/apt,1844
31,"Cuauhtémoc, Mexico City",Entire home/apt,1625
32,"Cuauhtémoc, Mexico City",Entire home/apt,50000
33,"Cuauhtémoc, Mexico City",Hotel room,1067
34,"Cuauhtémoc, Mexico City",Hotel room,970
35,"Cuauhtémoc, Mexico City",Entire home/apt,970
36,"Cuauhtémoc, Mexico City",Entire home/apt,1050
37,"Cuauhtémoc, Mexico City",Entire home/apt,1439
38,"Cuauhtémoc, Mexico City",Entire home/apt,5000
39,"Cuauhtémoc, Mexico City",Entire home/apt,2371
40,"Cuauhtémoc, Mexico City",Entire home/apt,1043
41,"Cuauhtémoc, Mexico City",Hotel room,970
42,"Cuauhtémoc, Mexico City",Entire home/apt,1200
43,"Cuauhtémoc, Mexico City",Entire home/apt,2717
