id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.38283,-99.27178,Entire home/apt,3882,1,0,,,1,363,0,
2,Amazing apartment Mexico City!!!,2339771,Rodrigo,,CuauhtÈmoc,19.41909,-99.16043,Entire home/apt,2764,2,73,12/12/2022,0.67,1,271,17,
3,Nice quiet room in a lovely house!!,1767559,Anna,,La Magdalena Contreras,19.33009,-99.21418,Private room,583,1,2,31/07/2022,0.02,2,303,1,
4,CONDESA HAUS  B&B,196253,Condesa Haus Bed & Breakfast  CDMX,,CuauhtÈmoc,19.41162,-99.17794,Entire home/apt,18000,1,62,06/11/2022,0.46,12,350,12,
5,"Area Sta.Fe,IberoABC Hospital Rooms",4129056,Janet,,Cuajimalpa de Morelos,19.35379,-99.28459,Private room,500,2,27,30/11/2019,0.25,2,361,0,
6,Condesa Apartment in 1920s Landmarked Art Nouveau Mansion,8282570,Thomas,,CuauhtÈmoc,19.4153,-99.16763,Entire home/apt,1823,3,263,18/12/2022,2.62,3,142,36,
7,Great space in historical San Rafael,265650,Maris,,CuauhtÈmoc,19.43977,-99.15605,Entire home/apt,660,3,83,10/12/2022,0.58,2,353,16,
8,Lovely flat in Roma-Condesa,3126571,Andrea,,CuauhtÈmoc,19.41554,-99.17139,Entire home/apt,1653,2,64,23/11/2022,0.56,1,49,6,
9,Spacious Clean Quiet room (own bath) in Condesa,299558,Roberto,,CuauhtÈmoc,19.41083,-99.18057,Private room,1164,2,61,03/12/2022,0.97,2,88,8,
10,Classic but Modern Apartment in Condesa,4195771,Jair,,CuauhtÈmoc,19.41824,-99.1756,Private room,582,5,148,30/11/2022,1.51,1,332,5,
11,5 min from CDMX¬¥s airport,10644799,Benito,,Venustiano Carranza,19.43949,-99.08769,Entire home/apt,428,1,579,19/12/2022,5.72,6,358,31,
12,"2 bedroom apt. deco bldg, Condesa",334451,Nicholas,,CuauhtÈmoc,19.41152,-99.16857,Entire home/apt,2426,4,46,25/11/2022,0.34,2,307,7,
13,Private rooms near old Coyoacan center,10659485,C√©cile,,Coyoac·n,19.34022,-99.15306,Private room,375,2,5,15/05/2018,0.05,1,331,0,
14,Live Mexico City Like a Small Town,4017148,Alberto & Lu,,Benito Ju·rez,19.38468,-99.17708,Entire home/apt,1580,2,64,03/12/2022,0.52,1,291,3,
15,Beautiful light Studio Coyoacan- full equipped !,212109,Trisha,,Coyoac·n,19.35448,-99.16217,Entire home/apt,1736,7,114,27/10/2022,0.86,2,93,8,
16,AMAZING LOFT in the heart of CDMX,4316391,Alejandro,,Miguel Hidalgo,19.40243,-99.17828,Entire home/apt,1400,4,53,18/12/2022,0.46,1,345,3,
17,Departamento 2 dormitorios x Antara,3083561,Federico,,Miguel Hidalgo,19.44178,-99.20202,Private room,3008,1,0,,,1,365,0,
18,NEW  DESIGNER LOFT,540705,Andrea,,Miguel Hidalgo,19.43211,-99.19327,Entire home/apt,3649,2,10,05/10/2019,0.12,3,338,0,
19,Polanco Concept Studio Loft...,3675629,Patricia (P√¢t√©),,Miguel Hidalgo,19.43573,-99.18955,Entire home/apt,1503,2,79,21/12/2022,0.78,9,309,11,
20,MARIA DEL ALMA,647454,Fernando,,Coyoac·n,19.35416,-99.16488,Private room,1322,1,0,,,3,71,0,
21,COYOACAN NICE ‚ô• FLAT !!,16840050,M√≥nica,,Coyoac·n,19.35284,-99.1695,Entire home/apt,1100,3,37,19/12/2019,0.34,2,321,0,
22,Apartment with Internet & 2 cable TV's,4344353,Miriam,,Coyoac·n,19.34183,-99.15533,Entire home/apt,873,2,26,30/10/2022,0.34,1,361,1,
23,BEST 4BR 4 BH HOUSE IN S. MIGUEL CHAPULTEPEC,790208,Maria Jose,,Miguel Hidalgo,19.40826,-99.18659,Entire home/apt,3888,2,289,18/11/2022,2.08,6,244,16,
24,ROOMS CASA INDIGO WITH TERRACE AT CITY CENTER,3777702,Abraham,,CuauhtÈmoc,19.44262,-99.14566,Private room,427,1,127,06/09/2022,1.04,6,311,3,
25,Well located on calm neighborhood,4410326,Fernando,,Benito Ju·rez,19.38336,-99.18197,Private room,480,2,9,31/10/2022,0.07,1,222,1,
26,Nice and luminous apartment in Coyoacan,4079778,Rosa Maria,,Coyoac·n,19.34219,-99.15952,Entire home/apt,718,3,9,03/11/2021,0.08,3,331,0,
27,Walk to WTC from a Family Apartment in a Trendy Neighborhood,10802698,Hector,,Benito Ju·rez,19.38777,-99.17532,Entire home/apt,2500,2,207,13/12/2022,1.91,3,79,31,
28,Cool room near WTC and Metrobus,816295,Carlos,,Benito Ju·rez,19.39675,-99.17581,Private room,295,4,87,31/10/2022,0.81,2,306,11,
29,Stay like a local in Roma Norte,350668,Blair,,CuauhtÈmoc,19.4191,-99.15904,Private room,1650,2,157,07/03/2022,1.44,1,212,2,
30,"Beautiful, Big apartment, Condesa,",3200155,Paulina,,CuauhtÈmoc,19.41319,-99.1758,Entire home/apt,1844,2,136,03/03/2020,1.12,2,245,0,
31,"Huge Luxurious Suite 70's style, perfectly located",36836,Roberto,,CuauhtÈmoc,19.4239,-99.1689,Entire home/apt,1625,3,44,04/12/2022,0.34,1,232,7,
32,Spacious apt with the best rooftop in Condesa,899360,Julian,,CuauhtÈmoc,19.41057,-99.1773,Entire home/apt,50000,14,100,14/09/2022,0.74,6,0,3,
33,Business Suite RED near Reforma Av.,3850198,Hermann,,CuauhtÈmoc,19.43078,-99.17011,Hotel room,1067,2,31,01/01/2022,0.26,11,243,1,
